Time Stamp, Current-A, Current-B, Current-C
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.8681,1.6947,2.8437
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.7143,1.6911,2.9805
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.6203,1.7387,3.0281
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.5262,1.8046,3.0525
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
12:57:04,2.3846,1.8913,3.1026
